Event	Date/Time	Latitude	Longitude
PS106/1-track	2017-05-24	54.37425841463415	7.460775609756097
PS106/1-track	2017-05-25	57.30351243055556	5.130602638888889
PS106/1-track	2017-05-26	61.14630152777777	3.3463633333333336
PS106/1-track	2017-05-27	65.12520277777779	2.6920095833333333
PS106/1-track	2017-05-28	69.16382798611112	3.3889388194444443
PS106/1-track	2017-05-29	72.79898791666668	5.757450138888888
PS106/1-track	2017-05-30	76.28532451388888	8.611917708333333
PS106/1-track	2017-05-31	79.582070625	8.931939652777778
PS106/1-track	2017-06-01	80.49182451388889	7.678841111111112
PS106/1-track	2017-06-02	81.27471826388889	9.281824166666667
PS106/1-track	2017-06-03	81.92063534722223	10.194765555555556
PS106/1-track	2017-06-04	81.94696277777777	10.549195694444444
PS106/1-track	2017-06-05	81.93495729166666	10.912830486111112
PS106/1-track	2017-06-06	81.94815722222222	10.759894305555555
PS106/1-track	2017-06-07	81.9288561111111	10.136346319444444
PS106/1-track	2017-06-08	81.90279173611111	9.862494652777777
PS106/1-track	2017-06-09	81.90381090277778	9.999765833333335
PS106/1-track	2017-06-10	81.88847916666667	10.322807152777777
PS106/1-track	2017-06-11	81.84026402777778	11.090550416666666
PS106/1-track	2017-06-12	81.82212020833333	11.518072222222223
PS106/1-track	2017-06-13	81.81710201388888	11.490318888888888
PS106/1-track	2017-06-14	81.77512479166666	11.142122291666666
PS106/1-track	2017-06-15	81.72097451388889	10.773724375
PS106/1-track	2017-06-16	81.62552194444444	10.371892013888889
PS106/1-track	2017-06-17	80.98168180555555	10.464159791666667
PS106/1-track	2017-06-18	80.09460506944444	9.938854097222222
PS106/1-track	2017-06-19	78.73388909722222	5.039834097222222
PS106/1-track	2017-06-20	78.63114944444445	9.706778333333334
PS106/1-track	2017-06-21	78.19714020408163	14.646435510204082
PS115/1-track	2018-08-05	70.2982431147541	19.502918524590164
PS115/1-track	2018-08-06	72.34610458333333	12.39859888888889
PS115/1-track	2018-08-07	75.13446993055555	2.5172273611111113
PS115/1-track	2018-08-08	76.28152131944445	-2.6931414583333333
PS115/1-track	2018-08-09	77.96960395833334	-8.392678472222222
PS115/1-track	2018-08-10	78.67083520833334	-12.040035833333333
PS115/1-track	2018-08-11	79.07292729166666	-11.666210625
PS115/1-track	2018-08-12	79.95464277777778	-8.265337847222222
PS115/1-track	2018-08-13	80.62467055555555	-5.651080972222222
PS115/1-track	2018-08-14	81.08696875	-7.218308333333334
PS115/1-track	2018-08-15	82.08201763888889	-9.610570833333334
PS115/1-track	2018-08-16	82.26358180555556	-9.40824
PS115/1-track	2018-08-17	82.08589597222222	-12.09197451388889
PS115/1-track	2018-08-18	82.45570354166667	-12.201817083333333
PS115/1-track	2018-08-19	83.285991875	-21.61217361111111
PS115/1-track	2018-08-20	84.18107243055556	-30.732690069444445
PS115/1-track	2018-08-21	84.02569027777777	-32.64680868055555
PS115/1-track	2018-08-22	83.96986506944444	-32.94230715277777
PS115/1-track	2018-08-23	84.09727694444445	-30.24115597222222
PS115/1-track	2018-08-24	83.05074821428572	-19.39885357142857
PS115/1-track	2018-08-25	81.2335757638889	-5.868208819444444
PS115/1-track	2018-08-26	80.18579638888889	-8.028478541666667
PS115/1-track	2018-08-27	80.10661527777778	-6.907518055555555
PS115/1-track	2018-08-28	79.28601256944445	-9.265645486111111
PS115/1-track	2018-08-29	78.28972881944445	-5.720075208333333
PS115/1-track	2018-08-30	78.80917333333333	-5.265770763888889
PS115/1-track	2018-08-31	78.09604347222222	-11.209889652777779
PS115/1-track	2018-09-01	76.57984861111112	-5.874734583333333
PS115/1-track	2018-09-02	77.421481875	4.800653055555555
PS115/1-track	2018-09-03	78.16230833333333	13.881880476190478
PS136-track	2023-05-22	53.892324571428574	7.994396428571429
PS136-track	2023-05-23	56.46631486111111	5.821834166666666
PS136-track	2023-05-24	59.978928749999994	4.199366458333333
PS136-track	2023-05-25	63.567138888888884	4.147273680555555
PS136-track	2023-05-26	67.41458319444445	3.6487755555555554
PS136-track	2023-05-27	71.524548125	4.092301597222222
PS136-track	2023-05-28	76.07515347222221	5.043117847222223
PS136-track	2023-05-29	78.60526173611112	5.086190208333333
PS136-track	2023-05-30	78.94360326388889	4.463691388888889
PS136-track	2023-05-31	79.0525725	4.279569791666667
PS136-track	2023-06-01	79.04947368055555	4.3892484722222225
PS136-track	2023-06-02	79.11634347222223	5.612208263888889
PS136-track	2023-06-03	79.05495284722222	6.904666875
PS136-track	2023-06-04	79.03383993055556	8.943763402777778
PS136-track	2023-06-05	79.65098638888888	4.895520486111112
PS136-track	2023-06-06	79.5390432638889	5.368706944444444
PS136-track	2023-06-07	79.09298895833334	5.996827708333333
PS136-track	2023-06-08	79.04848854166667	3.542659791666667
PS136-track	2023-06-09	79.10118902777778	3.1109755555555556
PS136-track	2023-06-10	79.06813375	2.7977380555555555
PS136-track	2023-06-11	78.73281416666666	-2.2871997916666666
PS136-track	2023-06-12	78.84093381944444	-3.6613721527777776
PS136-track	2023-06-13	78.96320277777778	-5.189147222222222
PS136-track	2023-06-14	78.83421555555555	-1.9202234722222222
PS136-track	2023-06-15	79.27899159722223	4.656622708333334
PS136-track	2023-06-16	78.81827958333332	4.772472291666666
PS136-track	2023-06-17	75.58054368055555	8.995989097222223
PS136-track	2023-06-18	72.21299916666666	16.412630416666666
PS136-track	2023-06-19	70.1804876744186	19.975548139534883
PS143/1-track	2024-06-07	53.58485074468086	8.524580957446808
PS143/1-track	2024-06-08	55.56440597222222	6.4623293749999995
PS143/1-track	2024-06-09	59.303741458333334	4.420704097222223
PS143/1-track	2024-06-10	62.964057708333335	4.181599930555556
PS143/1-track	2024-06-11	67.06068222222223	3.660300902777778
PS143/1-track	2024-06-12	71.33118520833334	4.220425486111111
PS143/1-track	2024-06-13	75.45421444444445	4.9648915972222225
PS143/1-track	2024-06-14	78.55326638888889	4.644472847222222
PS143/1-track	2024-06-15	79.1033295138889	3.5585827777777777
PS143/1-track	2024-06-16	79.0570325	4.281811597222222
PS143/1-track	2024-06-17	79.12752638888888	3.017361527777778
PS143/1-track	2024-06-18	79.08263493055556	1.5279716666666667
PS143/1-track	2024-06-19	78.9919113888889	-4.846515
PS143/1-track	2024-06-20	78.83108888888889	-3.285928888888889
PS143/1-track	2024-06-21	78.92105270833333	-0.5215815277777778
PS143/1-track	2024-06-22	79.09923833333333	4.368133333333334
PS143/1-track	2024-06-23	78.84880916666667	8.068691180555556
PS143/1-track	2024-06-24	78.27383881944445	11.988701875
PS143/1-track	2024-06-25	79.478075	5.523526388888889
PS143/1-track	2024-06-26	79.84028798611111	3.8147412499999995
PS143/1-track	2024-06-27	79.28050875000001	5.2257652777777786
PS143/1-track	2024-06-28	79.10684618055556	5.17464125
PS143/1-track	2024-06-29	79.07611534722223	4.209057291666666
PS143/1-track	2024-06-30	79.07315604166666	5.122497777777777
PS143/1-track	2024-07-01	79.0889970138889	3.695025763888889
PS143/1-track	2024-07-02	79.09365576388889	3.5637330555555553
PS143/1-track	2024-07-03	78.9739129861111	1.93638375
PS143/1-track	2024-07-04	78.95751131944445	3.7350087500000004
PS143/1-track	2024-07-05	79.09238854166666	3.5542906944444446
PS143/1-track	2024-07-06	78.82759243055555	4.478763333333333
PS143/1-track	2024-07-07	75.78479083333333	10.111318541666668
PS143/1-track	2024-07-08	72.15494569444445	16.603052430555557
PS143/1-track	2024-07-09	70.13559470588235	20.02407676470588
PS70/1a-track	2007-05-29	54.09391291666667	7.884230083333334
PS70/1a-track	2007-05-30	57.505519375	5.46528125
PS70/1a-track	2007-05-31	61.66835430555555	4.552399652777778
PS70/1a-track	2007-06-01	64.170503125	7.832298055555556
PS70/1a-track	2007-06-02	67.00329013986014	9.252965174825174
PS70/1a-track	2007-06-03	67.48899618055556	9.364715347222223
PS70/1a-track	2007-06-04	67.60129666666666	9.59922951388889
PS70/1a-track	2007-06-05	69.14503472222222	13.027907569444444
PS70/1a-track	2007-06-06	69.67591312500001	16.23528701388889
PS70/1a-track	2007-06-07	69.09236423611111	14.114729305555555
PS70/1a-track	2007-06-08	68.39567916666667	12.025956944444445
PS70/1a-track	2007-06-09	67.50553881118881	9.41499
PS70/1a-track	2007-06-10	67.52909944444444	9.452589999999999
PS70/1a-track	2007-06-11	67.53706034722222	9.474385694444443
PS70/1a-track	2007-06-12	67.33524645833333	10.172279722222221
PS70/1a-track	2007-06-13	66.97040580419579	11.12762041958042
PS70/1a-track	2007-06-14	67.00816930555555	11.002273125
PS70/1a-track	2007-06-15	67.61990131944444	9.312473194444443
PS70/1a-track	2007-06-16	67.5818706993007	9.303108111888113
PS70/1a-track	2007-06-17	68.62391986111112	12.046796875
PS70/1a-track	2007-06-18	70.60260083333333	18.388290069444444
PS70/1a-track	2007-06-19	70.76861798611111	18.681341180555556
PS70/1a-track	2007-06-20	70.77498971830985	18.75148190140845
PS70/1a-track	2007-06-21	69.84612722222222	19.242094444444447
PS80/1-track	2012-06-14	54.096744615384615	7.9318879720279725
PS80/1-track	2012-06-15	57.47172208333333	5.195598472222222
PS80/1-track	2012-06-16	61.94130604166667	4.300040208333333
PS80/1-track	2012-06-17	66.36895590277778	6.066564027777778
PS80/1-track	2012-06-18	70.39057743055555	8.344720555555556
PS80/1-track	2012-06-19	74.27115083333334	10.578419236111111
PS80/1-track	2012-06-20	78.07680430555556	9.9211825
PS80/1-track	2012-06-21	78.83763041666667	7.351797361111112
PS80/1-track	2012-06-22	78.83357506944444	7.221159513888889
PS80/1-track	2012-06-23	78.83568552447552	5.760441048951049
PS80/1-track	2012-06-24	78.80084965277779	5.254425
PS80/1-track	2012-06-25	78.82930451388889	3.847034375
PS80/1-track	2012-06-26	78.83247395833332	1.4269334722222222
PS80/1-track	2012-06-27	78.83373694444444	1.9631397916666669
PS80/1-track	2012-06-28	78.81741743055555	-0.14971944444444443
PS80/1-track	2012-06-29	78.82740631944445	-1.1212945138888888
PS80/1-track	2012-06-30	78.81903395833334	-2.0821497916666667
PS80/1-track	2012-07-01	78.66755590277778	-2.220233055555555
PS80/1-track	2012-07-02	79.03144559440558	-3.1921905594405593
PS80/1-track	2012-07-03	79.63784361111112	-9.878142291666666
PS80/1-track	2012-07-04	79.37193694444444	-11.326937569444445
PS80/1-track	2012-07-05	78.65699267175572	-11.342452366412212
PS80/1-track	2012-07-06	78.807883125	-11.710067847222222
PS80/1-track	2012-07-07	78.78501777777778	-7.1410695138888896
PS80/1-track	2012-07-08	78.81365020833333	-4.974477708333334
PS80/1-track	2012-07-09	78.83747986111112	-3.054749861111111
PS80/1-track	2012-07-10	78.94109659722223	-1.4541091666666666
PS80/1-track	2012-07-11	78.69686944444445	0.027684791666666667
PS80/1-track	2012-07-12	78.50550216783216	4.899507622377622
PS80/1-track	2012-07-13	78.0212675	7.994254861111112
PS80/1-track	2012-07-14	77.89322721804511	8.882698796992482
PS80/1-track	2012-07-15	78.22713928057554	13.723665539568346
PS85-track	2014-06-06	53.6651393006993	8.373623076923078
PS85-track	2014-06-07	56.16715138888889	6.248590763888888
PS85-track	2014-06-08	59.94415784722222	3.64645375
PS85-track	2014-06-09	64.00981277777777	1.7087894444444442
PS85-track	2014-06-10	67.57512319444444	0.5961159027777777
PS85-track	2014-06-11	71.65153881944444	1.2701882638888888
PS85-track	2014-06-12	75.46752548611111	-2.20783
PS85-track	2014-06-13	77.26346951388888	-8.978225763888888
PS85-track	2014-06-14	77.80908215277778	-14.653100555555556
PS85-track	2014-06-15	77.68879395833333	-15.242638263888889
PS85-track	2014-06-16	78.60966902777778	-10.094082430555556
PS85-track	2014-06-17	78.77595784722222	-5.830957013888889
PS85-track	2014-06-18	78.83395972222223	-4.337738611111111
PS85-track	2014-06-19	78.80825930555555	-3.6561520833333336
PS85-track	2014-06-20	78.56211916666666	-2.7973504166666667
PS85-track	2014-06-21	78.33998868055556	-0.9172523611111111
PS85-track	2014-06-22	79.03771972222222	4.2212338194444445
PS85-track	2014-06-23	79.068485625	3.766445138888889
PS85-track	2014-06-24	79.10250145833334	4.2306510416666665
PS85-track	2014-06-25	79.62825604166667	4.751847013888889
PS85-track	2014-06-26	79.34394506944444	4.7916131250000005
PS85-track	2014-06-27	78.84518493055556	-0.9045188194444445
PS85-track	2014-06-28	78.8341051388889	0.23680131944444444
PS85-track	2014-06-29	78.83838875	2.8980734027777775
PS85-track	2014-06-30	76.79340055555556	1.6813143750000001
PS85-track	2014-07-01	74.07998951388889	4.325397916666667
PS85-track	2014-07-02	71.57628451388888	15.137551250000001
PS85-track	2014-07-03	70.05417698113207	19.903047735849054
PS86-track	2014-07-07	69.85227755244756	19.213496013986013
PS86-track	2014-07-08	73.19618784722223	16.553974444444446
PS86-track	2014-07-09	76.85483229166667	3.957657152777778
PS86-track	2014-07-10	79.17128333333334	-6.465243125
PS86-track	2014-07-11	81.54439208333332	-8.74308875
PS86-track	2014-07-12	82.84045993055555	-6.461806666666667
PS86-track	2014-07-13	82.91323930555556	-6.159365902777777
PS86-track	2014-07-14	82.91121069444445	-6.2403103472222226
PS86-track	2014-07-15	82.916794375	-6.220752986111111
PS86-track	2014-07-16	82.89691875	-6.236409305555556
PS86-track	2014-07-17	82.902745	-6.256995347222222
PS86-track	2014-07-18	82.89655479166667	-6.226677083333333
PS86-track	2014-07-19	82.93859416666666	-6.249211875
PS86-track	2014-07-20	83.08759756944444	-6.016615
PS86-track	2014-07-21	83.02959638888889	-6.255718333333333
PS86-track	2014-07-22	82.90594763888889	-6.241125555555556
PS86-track	2014-07-23	82.89970625	-6.399659583333333
PS86-track	2014-07-24	82.92206034722223	-6.298426388888888
PS86-track	2014-07-25	82.89896013888888	-6.240401597222222
PS86-track	2014-07-26	82.92473777777778	-5.379061111111111
PS86-track	2014-07-27	83.0195195138889	-4.171677708333333
PS86-track	2014-07-28	82.88730673611111	-6.3118703472222215
PS86-track	2014-07-29	82.90034687500001	-6.242992986111111
PS86-track	2014-07-30	82.11651430555555	-6.860269930555556
PS86-track	2014-07-31	79.08667645833333	-0.06783972222222223
PS86-track	2014-08-01	75.92215222222222	13.194856736111111
PS86-track	2014-08-02	71.70895999999999	16.737633819444444
PS86-track	2014-08-03	69.7593788235294	19.28032529411765
PS87-track	2014-08-05	70.30074825174825	19.126392447552448
PS87-track	2014-08-06	73.73964791666667	13.419325555555556
PS87-track	2014-08-07	77.22035770833332	4.497499930555556
PS87-track	2014-08-08	79.36467666666667	-3.4138638194444444
PS87-track	2014-08-09	81.07999666666666	-7.956222777777778
PS87-track	2014-08-10	82.58965611111111	-4.908871250000001
PS87-track	2014-08-11	83.46090770833332	-3.450970555555555
PS87-track	2014-08-12	84.561549375	-3.075908333333333
PS87-track	2014-08-13	85.67486548611112	-2.881013888888889
PS87-track	2014-08-14	86.39801256944445	-11.41355361111111
PS87-track	2014-08-15	86.80816555555556	-24.204126666666667
PS87-track	2014-08-16	86.589794375	-37.44724166666666
PS87-track	2014-08-17	86.30351611111111	-43.15080409722222
PS87-track	2014-08-18	86.629285	-44.43184361111111
PS87-track	2014-08-19	86.95771159722223	-45.57024270833333
PS87-track	2014-08-20	87.50650909722222	-46.78720173611111
PS87-track	2014-08-21	88.28605430555555	-47.73543951388889
PS87-track	2014-08-22	88.60855347222223	-51.06024861111111
PS87-track	2014-08-23	88.67712430555555	-53.03588270833333
PS87-track	2014-08-24	89.25572888888888	-33.09654590277778
PS87-track	2014-08-25	89.57358041666666	-11.826199930555555
PS87-track	2014-08-26	89.88769694444444	54.093978472222226
PS87-track	2014-08-27	89.31084381944444	59.20240631944445
PS87-track	2014-08-28	88.49410770833333	167.3341575
PS87-track	2014-08-29	87.61174229166666	158.635555625
PS87-track	2014-08-30	87.30383562499999	155.4569088888889
PS87-track	2014-08-31	86.54466604166666	147.17888277777777
PS87-track	2014-09-01	85.79966777777777	147.65728451388887
PS87-track	2014-09-02	84.54222375	143.07187194444444
PS87-track	2014-09-03	83.617085	155.09916930555556
PS87-track	2014-09-04	83.55573215277778	155.85634361111113
PS87-track	2014-09-05	83.82439597222222	148.0591917361111
PS87-track	2014-09-06	83.86603729166667	144.56567715277777
PS87-track	2014-09-07	83.28992409722223	135.259144375
PS87-track	2014-09-08	83.06428381944444	148.9820836111111
PS87-track	2014-09-09	82.78565520833334	157.2583801388889
PS87-track	2014-09-10	83.20729805555555	148.45487291666666
PS87-track	2014-09-11	82.88695111111112	142.409275625
PS87-track	2014-09-12	82.336100625	137.6140536111111
PS87-track	2014-09-13	81.97014555555556	143.468000625
PS87-track	2014-09-14	81.65004902777778	139.34413958333334
PS87-track	2014-09-15	81.33626201388888	140.08933229166666
PS87-track	2014-09-16	81.07703479166668	142.89343270833334
PS87-track	2014-09-17	80.87702347222222	142.50495805555556
PS87-track	2014-09-18	81.10138354166666	141.78554256944443
PS87-track	2014-09-19	81.29591222222223	141.06147875
PS87-track	2014-09-20	82.15276659722223	142.32520763888888
PS87-track	2014-09-21	83.817594375	145.67804236111112
PS87-track	2014-09-22	83.53109590277778	143.31477777777778
PS87-track	2014-09-23	82.85489583333333	142.53121631944444
PS87-track	2014-09-24	81.22961631944445	141.96186118055556
PS87-track	2014-09-25	81.40631756944444	142.10373680555554
PS87-track	2014-09-26	81.24094	140.96097319444445
PS87-track	2014-09-27	81.43292270833334	125.2013726388889
PS87-track	2014-09-28	81.41637111111112	106.95308847222222
PS87-track	2014-09-29	81.15399986111112	78.66491951388889
PS87-track	2014-09-30	78.27272791666667	59.09574784722221
PS87-track	2014-10-01	75.61674263888888	42.17278451388889
PS87-track	2014-10-02	73.50388083333333	28.767855069444447
PS87-track	2014-10-03	71.57264527777778	16.872564583333332
PS87-track	2014-10-04	68.56603152777778	10.144050347222223
PS87-track	2014-10-05	63.901740625	5.185759097222222
PS87-track	2014-10-06	59.08842055555556	4.280631666666667
PS87-track	2014-10-07	55.910717777777776	6.146113958333333
PS87-track	2014-10-08	53.824260555555554	8.129181527777778
PS92-track	2015-05-19	53.92190531468532	8.04820874125874
PS92-track	2015-05-20	57.14031430555556	5.379851805555556
PS92-track	2015-05-21	61.13076423611111	3.352550277777778
PS92-track	2015-05-22	65.22632763888889	3.6189605555555553
PS92-track	2015-05-23	68.68120340277778	4.114938263888889
PS92-track	2015-05-24	70.42491965277777	11.237327777777777
PS92-track	2015-05-25	73.78653236111111	11.89359625
PS92-track	2015-05-26	77.86055375	9.097589583333333
PS92-track	2015-05-27	80.77032090277777	16.75380159722222
PS92-track	2015-05-28	81.18356680555556	19.057092986111112
PS92-track	2015-05-29	81.18545777777778	18.71959784722222
PS92-track	2015-05-30	81.19714569444444	18.633149791666668
PS92-track	2015-05-31	81.37604652777777	17.531133958333335
PS92-track	2015-06-01	81.33362243055555	17.352999166666667
PS92-track	2015-06-02	81.49640340277777	19.044750416666666
PS92-track	2015-06-03	81.58987923611112	19.350622916666666
