URI	score	html	type	position
doi:10.1594/PANGAEA.974029	67.017006	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.974029"" target=""_self"" class=""dataset-link""><strong>Rabe, B; Geibert, W (2024):</strong> Master tracks in different resolutions of POLARSTERN cruise PS144, Tromsø - Bremerhaven, 2024-08-09 - 2024-10-13</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Raw data acquired by position sensors on board RV Polarstern during expedition PS144 was processed to receive a validated master track which can be used as reference of further expedition data. During PS144 two Trimble Marine R750 GPS receivers and the iXBlue HYDRINS hydrographic survey inertial navigation system were used as navigation sensors. Data were downloaded from DAVIS SHIP data base (https://dship.awi.de) with a resolution of 1 sec. Processed data are provided as a master track with 1 sec resolution derived from the position sensors' data selected by priority and a generalized track with a reduced set of the most significant positions of the master track.</td></tr><tr><td class=""title"">Size:</td><td class=""content"">18744 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.974029"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.974029</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 67.02</span></div></li>"	member	10
doi:10.1594/PANGAEA.962551	63.18545	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.962551"" target=""_self"" class=""dataset-link""><strong>Soltwedel, T (2023):</strong> Master tracks in different resolutions of POLARSTERN cruise PS136, Bremerhaven - Tromsø, 2023-05-22 - 2023-06-19</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">8000 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.962551"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.962551</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 63.19</span></div></li>"	member	11
doi:10.1594/PANGAEA.847927	61.596138	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847927"" target=""_self"" class=""dataset-link""><strong>Klages, M (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXII/1c, Longyearbyen - Tromsø, 2007-07-09 - 2007-07-25</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">4738 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847927"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.847927</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 61.6</span></div></li>"	member	12
doi:10.1594/PANGAEA.881582	61.45377	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881582"" target=""_self"" class=""dataset-link""><strong>Wenzhöfer, F (2017):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS108 (ARK-XXXI/3), Tromsø - Tromsø, 2017-08-22 - 2017-09-09</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">5050 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881582"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.881582</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 61.45</span></div></li>"	member	13
doi:10.1594/PANGAEA.841006	61.348873	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.841006"" target=""_self"" class=""dataset-link""><strong>Beszczynska-Möller, A (2014):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXVII/1, Bremerhaven - Longyearbyen, 2012-06-14 - 2012-07-15</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">9150 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.841006"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.841006</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 61.35</span></div></li>"	member	14
doi:10.1594/PANGAEA.847925	61.16481	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847925"" target=""_self"" class=""dataset-link""><strong>Thiede, J (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXII/1a, Bremerhaven - Tromsø, 2007-05-25 - 2007-06-21</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">6852 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847925"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.847925</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 61.16</span></div></li>"	member	15
doi:10.1594/PANGAEA.847933	61.113605	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847933"" target=""_self"" class=""dataset-link""><strong>Kattner, G (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXIII/2, Longyearbyen - Reykjavik, 2008-07-04 - 2008-08-10</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">10930 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847933"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.847933</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 61.11</span></div></li>"	member	16
doi:10.1594/PANGAEA.893556	60.87374	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.893556"" target=""_self"" class=""dataset-link""><strong>von Appen, W-J (2018):</strong> Links to master tracks in different resolutions of POLARSTERN cruise PS114, Bremerhaven - Tromsø, 2018-07-10 - 2018-08-03</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">6874 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.893556"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.893556</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 60.87</span></div></li>"	member	17
doi:10.1594/PANGAEA.841007	60.600807	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.841007"" target=""_self"" class=""dataset-link""><strong>Soltwedel, T (2014):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXVII/2, Longyearbyen - Tromsø, 2012-07-15 - 2012-07-30</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">4584 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.841007"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.841007</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 60.6</span></div></li>"	member	18
doi:10.1594/PANGAEA.881581	60.386486	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881581"" target=""_self"" class=""dataset-link""><strong>Schewe, I (2017):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS107 (ARK-XXXI/2), Tromsø - Tromsø, 2017-07-23 - 2017-08-19</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">7642 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881581"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.881581</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 60.39</span></div></li>"	member	19
