URI	score	html	type	position
doi:10.1594/PANGAEA.847926	59.942665	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847926"" target=""_self"" class=""dataset-link""><strong>Klages, M (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXII/1b, Tromsø - Longyearbyen, 2007-06-23 - 2007-07-09</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">4884 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847926"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.847926</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 59.94</span></div></li>"	member	20
doi:10.1594/PANGAEA.848843	59.560497	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848843"" target=""_self"" class=""dataset-link""><strong>Soltwedel, T (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS93.2 (ARK-XXIX/2.2), Tromsø - Tromsø, 2015-07-20 - 2015-08-14</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">7102 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848843"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.848843</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 59.56</span></div></li>"	member	21
doi:10.1594/PANGAEA.869478	59.31072	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.869478"" target=""_self"" class=""dataset-link""><strong>Kanzow, T (2016):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS100 (ARK-XXX/2), Tromsø - Tromsø, 2016-07-18 - 2016-09-06</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">14626 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.869478"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.869478</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 59.31</span></div></li>"	member	22
doi:10.1594/PANGAEA.847932	59.0123	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847932"" target=""_self"" class=""dataset-link""><strong>Budéus, G (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXIII/1, Bremerhaven - Longyearbyen, 2008-06-12 - 2008-07-02</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">6030 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.847932"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.847932</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 59.01</span></div></li>"	member	23
doi:10.1594/PANGAEA.835512	58.877613	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.835512"" target=""_self"" class=""dataset-link""><strong>Boetius, A (2014):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS86 (ARK-XXVIII/3 AURORA), Tromsø - Tromsø, 2014-07-07 - 2014-08-03</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">7842 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.835512"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.835512</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 58.88</span></div></li>"	member	24
doi:10.1594/PANGAEA.895065	58.789753	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.895065"" target=""_self"" class=""dataset-link""><strong>Damm, V (2018):</strong> Links to master tracks in different resolutions of POLARSTERN cruise PS115/1, Tromsø - Longyearbyen, 2018-08-05 - 2018-09-03</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">8262 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.895065"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.895065</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 58.79</span></div></li>"	member	25
doi:10.1594/PANGAEA.834205	58.726982	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.834205"" target=""_self"" class=""dataset-link""><strong>Schewe, I (2014):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS85 (ARK-XXVIII/2), Bremerhaven - Tromsø, 2014-06-06 - 2014-07-03</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">7880 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.834205"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.834205</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 58.73</span></div></li>"	member	26
doi:10.1594/PANGAEA.864237	58.15168	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.864237"" target=""_self"" class=""dataset-link""><strong>Soltwedel, T (2016):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS99.2 (ARK-XXX/1.2), Longyearbyen - Tromsø, 2016-06-23 - 2016-07-16</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">6378 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.864237"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.864237</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 58.15</span></div></li>"	member	27
doi:10.1594/PANGAEA.848842	57.816746	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848842"" target=""_self"" class=""dataset-link""><strong>Stein, R (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS93.1 (ARK-XXIX/2.1), Longyearbyen - Tromsø, 2015-06-29 - 2015-07-17</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">5758 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848842"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.848842</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 57.82</span></div></li>"	member	28
doi:10.1594/PANGAEA.881579	57.23481	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881579"" target=""_self"" class=""dataset-link""><strong>Macke, A (2017):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS106/1 (ARK-XXXI/1.1), Bremerhaven - Longyearbyen, 2017-05-24 - 2017-06-21</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">8038 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881579"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.881579</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 57.23</span></div></li>"	member	29
doi:10.1594/PANGAEA.855530	56.78696	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.855530"" target=""_self"" class=""dataset-link""><strong>Schauer, U (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS94 (ARK-XXIX/3), Tromsø - Bremerhaven, 2015-08-17 - 2015-10-15</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">16852 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.855530"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.855530</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 56.79</span></div></li>"	member	30
doi:10.1594/PANGAEA.841008	56.20502	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.841008"" target=""_self"" class=""dataset-link""><strong>Boetius, A (2014):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXVII/3, Tromsø - Bremerhaven, 2012-08-02 - 2012-10-08</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">19284 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.841008"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.841008</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 56.21</span></div></li>"	member	31
doi:10.1594/PANGAEA.848841	56.135986	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848841"" target=""_self"" class=""dataset-link""><strong>Peeken, I (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS92 (ARK-XXIX/1 TRANSSIZ), Bremerhaven - Longyearbyen, 2015-05-19 - 2015-06-28</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">11794 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848841"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.848841</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 56.14</span></div></li>"	member	32
doi:10.1594/PANGAEA.881580	55.943764	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881580"" target=""_self"" class=""dataset-link""><strong>Flores, H (2017):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS106/2 (ARK-XXXI/1.2), Longyearbyen - Tromsø, 2017-06-23 - 2017-07-20</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">7718 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.881580"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.881580</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 55.94</span></div></li>"	member	33
doi:10.1594/PANGAEA.864236	55.914726	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.864236"" target=""_self"" class=""dataset-link""><strong>Soltwedel, T (2016):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS99.1 (ARK-XXX/1.1), Bremerhaven - Longyearbyen, 2016-06-13 - 2016-06-22</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">3024 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.864236"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.864236</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 55.91</span></div></li>"	member	34
doi:10.1594/PANGAEA.869409	55.684616	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.869409"" target=""_self"" class=""dataset-link""><strong>Boetius, A (2016):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS101 (ARK-XXX/3), Tromsø - Bremerhaven, 2016-09-09 - 2016-10-23</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">12756 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.869409"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.869409</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 55.68</span></div></li>"	member	35
doi:10.1594/PANGAEA.895773	53.367493	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.895773"" target=""_self"" class=""dataset-link""><strong>Stein, R (2018):</strong> Links to master tracks in different resolutions of POLARSTERN cruise PS115/2, Longyearbyen - Bremerhaven, 2018-09-05 - 2018-10-16</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">11698 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.895773"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.895773</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 53.37</span></div></li>"	member	36
doi:10.1594/PANGAEA.848840	53.3196	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848840"" target=""_self"" class=""dataset-link""><strong>Jokat, W (2015):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise ARK-XXIII/3 (AMEX I), Reykjavik - Bremerhaven, 2008-08-12 - 2008-10-17</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">19180 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.848840"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.848840</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 53.32</span></div></li>"	member	37
doi:10.1594/PANGAEA.837689	51.970375	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.837689"" target=""_self"" class=""dataset-link""><strong>Stein, R (2014):</strong> Station list and links to master tracks in different resolutions of POLARSTERN cruise PS87 (ARK-XXVIII/4), Tromsø - Bremerhaven, 2014-08-05 - 2014-10-08</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Size:</td><td class=""content"">18718 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.837689"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.837689</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 51.97</span></div></li>"	member	38
doi:10.1594/PANGAEA.905170	40.67308	"<li><div class=""citation""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.905170"" target=""_self"" class=""dataset-link""><strong>Gros, V; Sarda-Estève, R; Bonsang, B (2019):</strong> Isoprene concentrations in the surface Arctic waters during POLARSTERN cruise PS92 (ARK-XXIX/1 TRANSSIZ) in May 2015</a></div><table class=""result"" summary=""Dataset abstract and size"" cellspacing=""0"" cellpadding=""0""><tr><td class=""title"">Abstract:</td><td class=""content"">Isoprene concentrations in the surface Arctic waters, measured during the TRANSSIZ cruise from May 20th to May 27th, 2015, on board the R/V Polarstern. Measurements were made on-line with water extracted from the ""ship's membrane pump"" (~6m under the surface).</td></tr><tr><td class=""title"">Size:</td><td class=""content"">3372 data points</td></tr></table><div class=""datasetid""><a href=""https://doi.pangaea.de/10.1594/PANGAEA.905170"" target=""_self"" class=""dataset-link doi-link"">https://doi.org/10.1594/PANGAEA.905170</a> – <span title=""The score is a measurement of relevancy (see TF-IDF algorithm). The value is not absolute and only suitable to compare hits from the same result set."">Score: 40.67</span></div></li>"	member	39
