Date/Time	Latitude	Longitude	Speed	Course	Event
2023-06-21 12:20:00	69.7473	19.14246	0.0	180.0	PS137-track
2023-06-21 12:30:00	69.7473	19.14246	0.0	34.7	PS137-track
2023-06-21 12:40:00	69.7473	19.14246	0.0	270.0	PS137-track
2023-06-21 12:50:00	69.7473	19.14246	0.0	214.7	PS137-track
2023-06-21 13:00:00	69.7473	19.14246	0.0	34.7	PS137-track
2023-06-21 13:10:00	69.7473	19.14246	0.0	180.0	PS137-track
2023-06-21 13:20:00	69.7473	19.14246	0.0	19.1	PS137-track
2023-06-21 13:30:00	69.7473	19.14246	0.0	270.0	PS137-track
2023-06-21 13:40:00	69.74731	19.14246	0.001	6.6	PS137-track
2023-06-21 13:50:00	69.74731	19.14246	0.001	27.5	PS137-track
2023-06-21 14:00:00	69.74731	19.14246	0.001	19.1	PS137-track
2023-06-21 14:10:00	69.74731	19.14246	0.001	270.0	PS137-track
2023-06-21 14:20:00	69.74731	19.14245	0.001	270.0	PS137-track
2023-06-21 14:30:00	69.74731	19.14245	0.0	270.0	PS137-track
2023-06-21 14:40:00	69.74731	19.14245	0.0	90.0	PS137-track
2023-06-21 14:50:00	69.74731	19.14245	0.0	199.1	PS137-track
2023-06-21 15:00:00	69.74731	19.14245	0.0	90.0	PS137-track
2023-06-21 15:10:00	69.74731	19.14245	0.001	270.0	PS137-track
2023-06-21 15:20:00	69.74731	19.14244	0.001	226.1	PS137-track
2023-06-21 15:30:00	69.74731	19.14244	0.0	0.0	PS137-track
2023-06-21 15:40:00	69.74731	19.14244	0.0	270.0	PS137-track
2023-06-21 15:50:00	69.74731	19.14244	0.0	180.0	PS137-track
2023-06-21 16:00:00	69.74731	19.14244	0.001	207.5	PS137-track
2023-06-21 16:10:00	69.74731	19.14244	0.0	90.0	PS137-track
2023-06-21 16:20:00	69.74731	19.14244	0.0	90.0	PS137-track
2023-06-21 16:30:00	69.74731	19.14245	0.001	46.1	PS137-track
2023-06-21 16:40:00	69.74731	19.14245	0.0	34.7	PS137-track
2023-06-21 16:50:00	69.74731	19.14245	0.0	160.9	PS137-track
2023-06-21 17:00:00	69.74731	19.14245	0.0	160.9	PS137-track
2023-06-21 17:10:00	69.74731	19.14245	0.0	90.0	PS137-track
2023-06-21 17:20:00	69.7473	19.14245	0.001	189.8	PS137-track
2023-06-21 17:30:00	69.7473	19.14245	0.001	133.9	PS137-track
2023-06-21 17:40:00	69.7473	19.14246	0.001	46.1	PS137-track
2023-06-21 17:50:00	69.7473	19.14246	0.0	270.0	PS137-track
2023-06-21 18:00:00	69.74731	19.14246	0.0	34.7	PS137-track
2023-06-21 18:10:00	69.74731	19.14246	0.0	180.0	PS137-track
2023-06-21 18:20:00	69.74731	19.14246	0.0	19.1	PS137-track
2023-06-21 18:30:00	69.74731	19.14246	0.0	90.0	PS137-track
2023-06-21 18:40:00	69.74731	19.14246	0.0	180.0	PS137-track
2023-06-21 18:50:00	69.74731	19.14246	0.0	270.0	PS137-track
2023-06-21 19:00:00	69.74731	19.14246	0.001	46.1	PS137-track
2023-06-21 19:10:00	69.74731	19.14246	0.0	214.7	PS137-track
2023-06-21 19:20:00	69.74731	19.14246	0.001	46.1	PS137-track
2023-06-21 19:30:00	69.74731	19.14246	0.0	160.9	PS137-track
2023-06-21 19:40:00	69.74731	19.14246	0.0	270.0	PS137-track
2023-06-21 19:50:00	69.74731	19.14245	0.001	237.3	PS137-track
2023-06-21 20:00:00	69.7473	19.14245	0.0	180.0	PS137-track
2023-06-21 20:10:00	69.74731	19.14246	0.0	34.7	PS137-track
2023-06-21 20:20:00	69.7484	19.14425	0.453	29.6	PS137-track
2023-06-21 20:30:00	69.76146	19.15486	4.902	15.7	PS137-track
2023-06-21 20:40:00	69.78075	19.23232	11.93	54.2	PS137-track
2023-06-21 20:50:00	69.79606	19.34662	15.31	68.8	PS137-track
2023-06-21 21:00:00	69.81121	19.46372	15.607	69.4	PS137-track
2023-06-21 21:10:00	69.8263	19.58009	15.503	69.4	PS137-track
2023-06-21 21:20:00	69.83822	19.67389	12.458	69.7	PS137-track
2023-06-21 21:30:00	69.85438	19.76034	12.248	61.5	PS137-track
2023-06-21 21:40:00	69.88292	19.81666	12.466	34.2	PS137-track
2023-06-21 21:50:00	69.91223	19.87048	12.524	32.2	PS137-track
2023-06-21 22:00:00	69.94161	19.92512	12.593	32.5	PS137-track
2023-06-21 22:10:00	69.9715	19.97719	12.576	30.8	PS137-track
2023-06-21 22:20:00	70.00159	20.02864	12.597	30.3	PS137-track
2023-06-21 22:30:00	70.03004	20.08169	12.191	32.5	PS137-track
2023-06-21 22:40:00	70.05573	20.13546	11.409	35.5	PS137-track
2023-06-21 22:50:00	70.08871	20.20544	14.706	35.9	PS137-track
2023-06-21 23:00:00	70.11817	20.24692	11.803	25.6	PS137-track
2023-06-21 23:10:00	70.14983	20.27234	11.854	15.3	PS137-track
2023-06-21 23:20:00	70.18089	20.29791	11.652	15.6	PS137-track
2023-06-21 23:30:00	70.21165	20.32388	11.56	16.0	PS137-track
2023-06-21 23:40:00	70.24152	20.3466	11.14	14.4	PS137-track
2023-06-21 23:50:00	70.26933	20.37006	10.447	15.9	PS137-track
2023-06-22 00:00:00	70.297	20.39298	10.38	15.6	PS137-track
2023-06-22 00:10:00	70.32481	20.40014	10.084	5.0	PS137-track
2023-06-22 00:20:00	70.35202	20.39532	9.847	356.6	PS137-track
2023-06-22 00:30:00	70.37699	20.3589	10.048	333.9	PS137-track
2023-06-22 00:40:00	70.40223	20.32199	10.157	333.9	PS137-track
2023-06-22 00:50:00	70.42769	20.28471	10.247	333.9	PS137-track
2023-06-22 01:00:00	70.45324	20.24686	10.307	333.6	PS137-track
2023-06-22 01:10:00	70.47981	20.21209	10.476	336.4	PS137-track
2023-06-22 01:20:00	70.50682	20.17808	10.587	337.2	PS137-track
2023-06-22 01:30:00	70.53366	20.14412	10.526	337.1	PS137-track
2023-06-22 01:40:00	70.5606	20.11021	10.552	337.3	PS137-track
2023-06-22 01:50:00	70.58766	20.07578	10.617	337.1	PS137-track
2023-06-22 02:00:00	70.61431	20.04145	10.473	336.8	PS137-track
2023-06-22 02:10:00	70.641	20.00778	10.452	337.3	PS137-track
2023-06-22 02:20:00	70.66833	19.9838	10.284	343.8	PS137-track
